NDB_No,Restaurant,Shrt_Desc,Energ_Kcal,Protein_(g),Lipid_Tot_(g),Iron_(mg),Sodium_(mg),Cholestrl_(mg),Carbohydrt_(g),Water_(g)
21246,Wendy's,WENDY'S_CHICK NUGGETS,326,16.46,22.55,0.62,708,50,14.31,44.15
21247,Wendy's,WENDY'S_FRENCH FR,301,3.73,14.1,0.93,219,,39.73,40.62
21248,Wendy's,WENDY'S_FROSTY DAIRY DSSRT,132,3.49,2.6,1.04,98,16,23.62,69.25
21249,Burger King,BURGER KING_FRENCH FR,280,3.23,12.48,0.73,279,,38.7,43.95
21250,Burger King,BURGER KING_HAMBURGER,261,14.85,10.55,2.87,461,35,26.76,45.97
21251,Burger King,BURGER KING_ CHSBRGR,286,14.57,14.81,2.5,602,45,23.71,44.59
21252,Burger King,BURGER KING_WHOPPER_NO CHS,233,10.74,12.84,4.37,313,30,18.55,56.43
21253,Burger King,BURGER KING_WHOPPER_W/ CHS,250,11.19,15.33,2,453,36,16.7,54.92
21254,Burger King,BURGER KING_DOUBLE WHOPPER_NO CHS,252,13.94,15.66,2.8,289,46,13.74,55.29
21255,Burger King,BURGER KING_DOUBLE WHOPPER_W/ CHS,266,14.47,17.06,5.3,387,47,13.52,53.28
21256,Burger King,BURGER KING_CHICK STRIPS,292,18.2,15.25,0.62,859,44,20.49,43.02
21258,Burger King,BURGER KING_PREMIUM FISH SNDWCH,260,10.29,12.45,1.5,602,31,26.69,48.44
21259,Burger King,BURGER KING_ORIGINAL CHICK SNDWCH,286,12.14,14.69,1.79,638,31,26.22,44.7
21260,Taco Bell,TACO BELL_ORIGINAL TACO W/ BF_CHS & LETTUCE,229,8.86,12.7,1.19,397,28,19.85,57.02
21261,Taco Bell,TACO BELL_SOFT TACO W/ BF_CHS & LETTUCE,206,9.25,9.75,1.67,560,25,20.23,58.78
21262,Taco Bell,TACO BELL_SOFT TACO W/ CHICK_CHS & LETTUCE,189,13.3,6.35,1.59,613,29,19.69,58.42
21263,Taco Bell,TACO BELL_SOFT TACO W/ STEAK,225,11.81,12.1,2.22,551,31,17.22,56.82
21264,Taco Bell,TACO BELL_BEAN BURRITO,209,7.35,6.05,2.37,563,5,31.23,53.17
21265,Taco Bell,TACO BELL_BURRITO SUPREME W/ BF,183,7.03,6.8,1.82,451,12,23.37,60.9
21266,Taco Bell,TACO BELL_BURRITO SUPREME W/ CHICK,179,9.84,6.42,1.56,564,21,20.51,61
21267,Taco Bell,TACO BELL_BURRITO SUPREME W/ STEAK,183,9.13,7.27,2,534,21,20.32,61.21
21268,Taco Bell,TACO BELL_NACHOS,350,4.32,21.5,0.75,313,3,34.91,37.4
21269,Taco Bell,TACO BELL_NACHOS SUPREME,223,6.21,12.48,1.01,348,14,21.39,58.15
21270,Taco Bell,TACO BELL_TACO SALAD,170,6.69,9.17,1.77,363,19,15.1,67.32
21271,Pizza Hut,"PIZZA HUT 12"" CHS PIZZA_HAND-TOSSED CRUST",271,11.93,10.89,1.95,685,24,31.22,43.29
21272,Pizza Hut,"PIZZA HUT 12"" CHS PIZZA_PAN CRUST",280,11.73,12.56,1.86,624,21,29.93,43.4
21273,Pizza Hut,"PIZZA HUT 12"" CHS PIZZA_THIN 'N CRISPY CRUST",303,15.29,14.1,1.71,784,34,28.64,38.77
21274,Pizza Hut,"PIZZA HUT 12"" PEPPERONI PIZZA_HAND-TOSSED CRUST",280,12.86,11.38,2.14,801,26,31.55,41.35
21275,Pizza Hut,"PIZZA HUT 12"" PEPPERONI PIZZA_PAN CRUST",298,11.97,14.21,2.14,692,25,30.49,40.8
21276,Pizza Hut,"PIZZA HUT 12"" SUPER SUPREME PIZZA_HAND-TOSSED CRUST",243,10.9,10.72,2,689,20,25.62,50.2
21277,Dominos,"DOMINO'S 14"" CHS PIZZA_CLASSIC HAND-TOSSED CRUST",257,10.8,8.97,2.34,523,17,33.24,44.87
21278,Dominos,"DOMINO'S 14"" CHS PIZZA_ULTIMATE DEEP DISH CRUST",265,10.76,9.83,2.49,615,16,33.48,43.42
21279,Dominos,"DOMINO'S 14"" CHS PIZZA_CRUNCHY THIN CRUST",298,12.33,15.1,0.91,628,27,28.18,41.58
21280,Dominos,"DOMINO'S 14"" PEPPERONI PIZZA_CLASSIC HAND-TOSSED CRUST",273,11.25,11.18,2.33,611,25,31.86,43.4
21281,Dominos,"DOMINO'S 14"" PEPPERONI PIZZA_ULTIMATE DEEP DISH CRUST",283,11.52,12.1,2.54,693,24,31.89,41.9
21282,Dominos,"DOMINO'S 14"" EXTRAVAGANZZA FST PIZZA_CLSSIC HAND-TOSSED CRST",244,10.33,11.1,2.32,456,20,25.72,50.77
21293,Pizza Hut,"PIZZA HUT 14"" CHS PIZZA_HAND-TOSSED CRUST",275,11.98,10.42,2.62,674,18,33.42,41.48
21294,Pizza Hut,"PIZZA HUT 14"" CHS PIZZA_PAN CRUST",276,10.85,11.25,2.47,580,18,32.85,42.68
21295,Pizza Hut,"PIZZA HUT 14"" CHS PIZZA_THIN 'N CRISPY CRUST",306,13.37,12.8,2.52,857,30,34.22,36.27
21296,Pizza Hut,"PIZZA HUT 14"" PEPPERONI PIZZA_HAND-TOSSED CRUST",291,12.23,12.63,2.71,759,26,32.11,40.15
21297,Pizza Hut,"PIZZA HUT 14"" PEPPERONI PIZZA_PAN CRUST",291,11.47,13.07,2.57,676,23,31.79,41.17
21298,Pizza Hut,"PIZZA HUT 14"" SUPER SUPREME PIZZA_HAND-TOSSED CRUST",248,11.34,10.95,1.53,658,28,26.01,49.15
21309,McDonald's,MCDONALD'S_CHICK MCNUGGETS,302,15.79,19.81,0.89,566,44,15.09,47.13
21310,McDonald's,MCDONALD'S_BARBEQUE SAU,165,1.55,1.22,0.4,910,,36.93,57.68
21311,McDonald's,MCDONALD'S_CREAMY RANCH SAU,468,1.11,52.03,0.25,708,21,3.49,41.36
21313,McDonald's,MCDONALD'S_HOT MUSTARD SAU,190,2.6,7.31,0.86,902,,29.08,58.65
21314,McDonald's,MCDONALD'S_SPICY BUFFALO SAU,142,0.54,15.45,0.35,2140,0,1.81,76
21315,McDonald's,MCDONALD'S_SWT 'N SOUR SAU,170,0.66,1.09,0.64,557,,39.38,57.37
21316,McDonald's,MCDONALD'S_TANGY HONEY MUSTARD SAU,167,1.32,5.77,0.42,383,,28.81,63
21319,McDonald's,MCDONALD'S_HASH BROWN,271,2.48,16.3,0.56,580,0,28.56,50.42
21321,McDonald's,MCDONALD'S_HOTCAKES (PLAIN),228,6,5.84,1.83,358,13,38.27,48.24
21324,McDonald's,MCDONALD'S_BKD APPL PIE,323,3.07,15.66,1.99,199,,43.62,36.98
21327,McDonald's,MCDONALD'S_BACON_EGG & CHS MCGRIDDLES,272,12.03,13.19,1.65,673,147,26.19,45.85
21328,McDonald's,MCDONALD'S_SAUSAGE MCGRIDDLES,312,8.41,17.76,1.42,737,24,31.25,40.11
21329,McDonald's,MCDONALD'S_SAUSAGE_EGG & CHS MCGRIDDLES,283,10.77,17.73,1.51,652,132,22.04,47.03
21333,McDonald's,MCDONALD'S_VANILLA RED FAT ICE CRM CONE,162,4.24,4.86,0.35,67,15,26.36,63.64
21334,McDonald's,MCDONALD'S_STRAWBERRY SUNDAE,158,3.19,3.95,0.1,47,13,28.09,64.02
21335,McDonald's,MCDONALD'S_HOT CARAMEL SUNDAE,188,3.58,4.89,0.08,80,16,33.36,57.27
21336,McDonald's,MCDONALD'S_HOT FUDGE SUNDAE,186,4.14,5.91,0.83,94,13,30.05,58.81
21337,McDonald's,MCDONALD'S_PNUTS (FOR SUNDAES),640,28.04,52.91,1.45,0,,16.23,0.56
21338,McDonald's,MCDONALD'S_MCFLURRY W/ M&M'S CANDIES,177,4.02,6.46,0.27,54,16,26.82,61.74
21339,McDonald's,MCDONALD'S_MCFLURRY W/ OREO COOKIES,165,3.97,5.66,0.61,75,15,25.55,63.9
21340,McDonald's,MCDONALD'S_SAUSAGE BURRITO,277,11.1,15.63,2.28,744,137,22.97,47.55
21341,McDonald's,MCDONALD'S_BIG BRKFST,285,10.16,19.37,1.74,549,173,17.5,50.68
21343,McDonald's,MCDONALD'S_LOFAT CARAMEL SAU,313,1.89,3.25,0.16,170,12,71.53,22.5
21344,McDonald's,MCDONALD'S_DOUBLE CHEESEBURGER,282,15.5,16.09,2.24,668,48,18.79,47
21345,McDonald's,MCDONALD'S_DOUBLE QUARTER POUNDER W/ CHS,262,16.96,16.22,2.18,476,57,14.43,50.34
21346,McDonald's,MCDONALD'S_NEWMAN'S OWN COBB DRSNG,196,1.69,14.45,0.2,709,13,15.49,66.41
21347,McDonald's,MCDONALD'S_NEWMAN'S OWN CREAMY CAESAR DRSNG,319,3.56,31.5,0.28,851,35,6.85,54.9
21348,McDonald's,MCDONALD'S_NEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE,86,0.19,5.94,0.28,1562,0,24.65,66.05
21349,McDonald's,MCDONALD'S_NEWMAN'S OWN RANCH DRSNG,313,2.62,26.57,0.25,954,32,16.75,51.35
21350,McDonald's,MCDONALD'S_BIG MAC (WITHOUT BIG MAC SAUCE),234,12.79,11.57,2.14,454,35,21.01,52.76
21355,McDonald's,MCDONALD'S_MCCHICKEN SNDWCH,273,10.43,13.21,1.74,624,27,27.97,46.11
